,,,,MADE BY @ MYFANTASYHOOPS,,,,,,,,,,,,
AVERAGE PROJECTIONS COMPILATION - MYFANTASYHOOPS PROJECTIONS,,,,,,,,,,,,,,,,
PLAYER,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Darius Garland,37,69,"35,6","0,463","0,869","21,6","2,5","2,9","7,8","1,2","0,1","3,1","7,7","16,7","3,8","4,4"
Kyrie Irving,17,62,"36,1","0,490","0,906","26,0","3,0","4,8","5,5","1,2","0,6","2,1","9,5","19,4","4,0","4,5"
Jarred Vanderbilt,139,77,"25,5","0,563","0,670","7,9","0,3","7,9","1,9","1,2","0,5","1,2","3,3","5,9","1,2","1,8"
Cade Cunningham,43,66,"34,6","0,437","0,843","21,3","1,9","6,2","6,4","1,2","0,6","3,5","8,2","18,9","3,2","3,8"
Cameron Johnson,67,65,"30,2","0,469","0,848","16,0","2,6","4,8","2,1","1,2","0,3","1,0","5,4","11,6","2,4","2,9"
Gary Payton II,297,64,"19,7","0,563","0,683","6,8","0,7","3,5","1,3","1,2","0,3","0,8","2,8","4,7","0,5","0,8"
Terry Rozier,76,70,"33,0","0,428","0,818","19,7","2,8","4,0","4,6","1,2","0,3","1,8","7,3","17,0","2,5","3,1"
Devin Vassell,75,66,"30,9","0,440","0,806","17,7","2,6","4,2","3,6","1,2","0,5","1,4","6,6","14,9","2,1","2,6"
Josh Hart,100,74,"31,2","0,512","0,763","10,5","1,0","7,1","3,6","1,2","0,3","1,6","3,8","7,4","2,0","2,6"
James Harden,25,60,"34,8","0,432","0,869","19,9","2,5","6,0","10,0","1,2","0,5","3,4","5,9","13,7","5,5","6,3"
Desmond Bane,31,72,"32,9","0,472","0,889","22,2","3,2","5,1","4,1","1,2","0,4","2,2","8,0","16,9","3,0","3,4"
Jose Alvarado,213,67,"20,4","0,415","0,787","8,9","1,3","2,4","3,1","1,2","0,2","1,2","3,3","8,0","1,1","1,4"
Mikal Bridges,23,80,"35,6","0,484","0,880","23,6","2,3","4,7","3,2","1,1","0,7","1,6","8,3","17,2","4,6","5,3"
Ja Morant,75,51,"33,0","0,474","0,753","26,6","1,6","5,9","7,6","1,1","0,3","3,4","9,6","20,1","6,2","8,2"
Mike Conley,111,66,"29,6","0,437","0,830","12,6","2,1","2,8","5,6","1,1","0,2","1,5","4,2","9,6","2,1","2,5"
Amen Thompson,164,68,"26,9","0,459","0,718","10,6","0,7","4,2","3,7","1,1","0,5","2,1","4,1","8,8","2,2","3,1"
Anthony Davis,14,57,"34,0","0,543","0,769","24,6","0,3","11,3","2,7","1,1","2,0","2,1","9,3","17,2","5,6","7,4"
Andrew Wiggins,99,69,"33,1","0,471","0,646","17,1","2,3","4,9","2,2","1,1","0,7","1,4","6,5","13,9","1,6","2,5"
Draymond Green,104,62,"30,4","0,512","0,711","8,0","0,5","6,9","6,4","1,1","0,8","2,8","3,2","6,3","1,1","1,5"
Bruce Brown,119,74,"27,5","0,488","0,766","11,8","1,1","4,7","3,0","1,1","0,7","1,4","4,6","9,4","1,5","2,0"
Jaylen Brown,42,70,"35,7","0,488","0,761","25,3","2,5","6,2","3,6","1,1","0,4","2,8","9,6","19,5","3,8","5,0"
Zion Williamson,48,53,"33,7","0,605","0,713","27,2","0,3","7,6","4,5","1,1","0,6","3,2","10,4","17,1","6,3","8,8"
Scottie Barnes,54,77,"34,3","0,468","0,767","17,8","1,0","6,7","5,5","1,1","0,8","2,2","7,0","14,9","3,3","4,2"
Josh Richardson,159,67,"27,7","0,429","0,856","10,9","1,8","3,0","2,5","1,1","0,4","1,3","3,9","9,0","1,3","1,5"
